region,molecular_type,synapse_class,L1_DAC|bNAC,L1_DAC|cNAC,L1_DLAC|cNAC,L1_HAC|bNAC,L1_HAC|cIR,L1_HAC|cNAC,L1_NGC-DA|bNAC,L1_NGC-DA|cAC,L1_NGC-DA|cNAC,L1_NGC-DA|cSTUT,L1_NGC-SA|cNAC,L1_SLAC|bNAC,L1_SLAC|cAC,L1_SLAC|cNAC
PL1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
PTLp1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
RSPagl1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
RSPd1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
RSPv1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
SS1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
SSp-bfd1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
SSp-ll1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
SSp-m1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
SSp-n1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
SSp-tr1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
SSp-ul1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
SSp-un1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
SSp1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
SSs1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
TEa1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
VIS1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
VISC1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
VISa1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
VISal1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
VISam1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
